
Nov 22 04:57:23 localhost kernel: [    9.229655] file system registered
Nov 22 04:57:23 localhost kernel: [    9.283257] read descriptors
Nov 22 04:57:23 localhost kernel: [    9.283279] read strings
Nov 22 04:57:24 localhost kernel: [    9.376897] UDC core: g_comp: couldn't find an available UDC or it's busy
Mar  5 18:25:39 localhost kernel: [   20.906859] dw-apb-uart 340a0000.serial: failed to request DMA
Mar  5 18:25:39 localhost kernel: [   21.126507] [VPF mgr]:[L478]empty_camsys_reset: empty function
Mar  5 18:25:39 localhost kernel: [   21.126528] [L1228]cim_open open_cnt :1
Mar  5 18:25:39 localhost kernel: [   21.126534] [CIM]:[L192][S0]cim_video_open done ret val:0
Mar  5 18:25:39 localhost kernel: [   21.126538] [L1227][S0]vin_node_open done
Mar  5 18:25:39 localhost kernel: [   21.126542] [VIN_NODE]:[L694][C0]vin_node_video_open done
Mar  5 18:25:39 localhost kernel: [   21.126546] [VPF ops]:[L2575][vin2_src] vpf_device_open: done
Mar  5 18:25:39 localhost kernel: [   21.126569] [L1228]cim_open open_cnt :2
Mar  5 18:25:39 localhost kernel: [   21.126573] [CIM]:[L192][S0]cim_video_open done ret val:0
Mar  5 18:25:39 localhost kernel: [   21.126576] [L1227][S0]vin_node_open done
Mar  5 18:25:39 localhost kernel: [   21.126580] [VIN_NODE]:[L694][C0]vin_node_video_open done
Mar  5 18:25:39 localhost kernel: [   21.126583] [VPF ops]:[L2575][vin2_cap] vpf_device_open: done
Mar  5 18:25:39 localhost kernel: [   21.126597] [L1228]cim_open open_cnt :3
Mar  5 18:25:39 localhost kernel: [   21.126600] [CIM]:[L192][S0]cim_video_open done ret val:0
Mar  5 18:25:39 localhost kernel: [   21.126604] [L1227][S0]vin_node_open done
Mar  5 18:25:39 localhost kernel: [   21.126607] [VIN_NODE]:[L694][C0]vin_node_video_open done
Mar  5 18:25:39 localhost kernel: [   21.126610] [VPF ops]:[L2575][vin2_emb] vpf_device_open: done
Mar  5 18:25:39 localhost kernel: [   21.126624] [L1228]cim_open open_cnt :4
Mar  5 18:25:39 localhost kernel: [   21.126627] [CIM]:[L192][S0]cim_video_open done ret val:0
Mar  5 18:25:39 localhost kernel: [   21.126630] [L1227][S0]vin_node_open done
Mar  5 18:25:39 localhost kernel: [   21.126634] [VIN_NODE]:[L694][C0]vin_node_video_open done
Mar  5 18:25:39 localhost kernel: [   21.126637] [VPF ops]:[L2575][vin2_pdaf] vpf_device_open: done
Mar  5 18:25:39 localhost kernel: [   21.126667] [VPF ops]:[L439][vin2_src][C0] vpf_vctx_bind_vdev: done, ctx_index(0) refcount(1)
Mar  5 18:25:39 localhost kernel: [   21.126676] [VPF ops]:[L1875][vin2_src][C0] vpf_video_bind_context: done
Mar  5 18:25:39 localhost kernel: [   21.126682] [VPF ops]:[L439][vin2_cap][C0] vpf_vctx_bind_vdev: done, ctx_index(0) refcount(1)
Mar  5 18:25:39 localhost kernel: [   21.126687] [VPF ops]:[L1875][vin2_cap][C0] vpf_video_bind_context: done
Mar  5 18:25:39 localhost kernel: [   21.126692] [VPF ops]:[L439][vin2_emb][C0] vpf_vctx_bind_vdev: done, ctx_index(0) refcount(1)
Mar  5 18:25:39 localhost kernel: [   21.126696] [VPF ops]:[L1875][vin2_emb][C0] vpf_video_bind_context: done
Mar  5 18:25:39 localhost kernel: [   21.126910] [VPF ops]:[L439][vin2_pdaf][C0] vpf_vctx_bind_vdev: done, ctx_index(0) refcount(1)
Mar  5 18:25:39 localhost kernel: [   21.126925] [VPF ops]:[L1875][vin2_pdaf][C0] vpf_video_bind_context: done
Mar  5 18:25:39 localhost kernel: [   21.126979] [VIN_NODE]:[L38]The vin node driver version is v1.1
Mar  5 18:25:39 localhost kernel: [   21.126984] [VPF ops]:[L1031][vin2_src][C0] vpf_video_get_version: done
Mar  5 18:25:39 localhost kernel: [   21.127029] [VPF ops]:[L1079][vin2_src][C0] vpf_video_get_struct_size: done
Mar  5 18:25:39 localhost kernel: [   21.127049] [CIM]:[L247][C0]cim_video_set_attr done ret val:0
Mar  5 18:25:39 localhost kernel: [   21.127054] [L423][C0] vin_node_set_attr ipi 0 done
Mar  5 18:25:39 localhost kernel: [   21.127059] [VIN_NODE]:[L239][C0]vin_node_video_set_attr done
