
Nov 22 04:57:24 localhost kernel: [   10.345452] read descriptors
Nov 22 04:57:24 localhost kernel: [   10.345473] read strings
Nov 22 04:57:24 localhost kernel: [   10.435061] UDC core: g_comp: couldn't find an available UDC or it's busy
Mar  5 18:42:33 localhost kernel: [   22.053231] dw-apb-uart 340a0000.serial: failed to request DMA
Mar  5 18:42:34 localhost kernel: [   22.725657] [VPF mgr]:[L478]empty_camsys_reset: empty function
Mar  5 18:42:34 localhost kernel: [   22.725677] [L1228]cim_open open_cnt :1
Mar  5 18:42:34 localhost kernel: [   22.725682] [CIM]:[L192][S0]cim_video_open done ret val:0
Mar  5 18:42:34 localhost kernel: [   22.725687] [L1227][S0]vin_node_open done
Mar  5 18:42:34 localhost kernel: [   22.725691] [VIN_NODE]:[L694][C0]vin_node_video_open done
Mar  5 18:42:34 localhost kernel: [   22.726190] [VPF ops]:[L2575][vin2_src] vpf_device_open: done
Mar  5 18:42:34 localhost kernel: [   22.726272] [L1228]cim_open open_cnt :2
Mar  5 18:42:34 localhost kernel: [   22.726389] [CIM]:[L192][S0]cim_video_open done ret val:0
Mar  5 18:42:34 localhost kernel: [   22.726399] [L1227][S0]vin_node_open done
Mar  5 18:42:34 localhost kernel: [   22.726404] [VIN_NODE]:[L694][C0]vin_node_video_open done
Mar  5 18:42:34 localhost kernel: [   22.726409] [VPF ops]:[L2575][vin2_cap] vpf_device_open: done
Mar  5 18:42:34 localhost kernel: [   22.726458] [L1228]cim_open open_cnt :3
Mar  5 18:42:34 localhost kernel: [   22.726465] [CIM]:[L192][S0]cim_video_open done ret val:0
Mar  5 18:42:34 localhost kernel: [   22.726468] [L1227][S0]vin_node_open done
Mar  5 18:42:34 localhost kernel: [   22.726472] [VIN_NODE]:[L694][C0]vin_node_video_open done
Mar  5 18:42:34 localhost kernel: [   22.726475] [VPF ops]:[L2575][vin2_emb] vpf_device_open: done
Mar  5 18:42:34 localhost kernel: [   22.726494] [L1228]cim_open open_cnt :4
Mar  5 18:42:34 localhost kernel: [   22.726498] [CIM]:[L192][S0]cim_video_open done ret val:0
Mar  5 18:42:34 localhost kernel: [   22.726502] [L1227][S0]vin_node_open done
Mar  5 18:42:34 localhost kernel: [   22.726505] [VIN_NODE]:[L694][C0]vin_node_video_open done
Mar  5 18:42:34 localhost kernel: [   22.726508] [VPF ops]:[L2575][vin2_pdaf] vpf_device_open: done
Mar  5 18:42:34 localhost kernel: [   22.726593] [VPF ops]:[L439][vin2_src][C0] vpf_vctx_bind_vdev: done, ctx_index(0) refcount(1)
Mar  5 18:42:34 localhost kernel: [   22.726602] [VPF ops]:[L1875][vin2_src][C0] vpf_video_bind_context: done
Mar  5 18:42:34 localhost kernel: [   22.726609] [VPF ops]:[L439][vin2_cap][C0] vpf_vctx_bind_vdev: done, ctx_index(0) refcount(1)
Mar  5 18:42:34 localhost kernel: [   22.726613] [VPF ops]:[L1875][vin2_cap][C0] vpf_video_bind_context: done
Mar  5 18:42:34 localhost kernel: [   22.726618] [VPF ops]:[L439][vin2_emb][C0] vpf_vctx_bind_vdev: done, ctx_index(0) refcount(1)
Mar  5 18:42:34 localhost kernel: [   22.726623] [VPF ops]:[L1875][vin2_emb][C0] vpf_video_bind_context: done
Mar  5 18:42:34 localhost kernel: [   22.726628] [VPF ops]:[L439][vin2_pdaf][C0] vpf_vctx_bind_vdev: done, ctx_index(0) refcount(1)
Mar  5 18:42:34 localhost kernel: [   22.726633] [VPF ops]:[L1875][vin2_pdaf][C0] vpf_video_bind_context: done
Mar  5 18:42:34 localhost kernel: [   22.726669] [VIN_NODE]:[L38]The vin node driver version is v1.1
Mar  5 18:42:34 localhost kernel: [   22.726673] [VPF ops]:[L1031][vin2_src][C0] vpf_video_get_version: done
Mar  5 18:42:34 localhost kernel: [   22.726716] [VPF ops]:[L1079][vin2_src][C0] vpf_video_get_struct_size: done
Mar  5 18:42:34 localhost kernel: [   22.726735] [CIM]:[L247][C0]cim_video_set_attr done ret val:0
Mar  5 18:42:34 localhost kernel: [   22.726739] [L423][C0] vin_node_set_attr ipi 0 done
Mar  5 18:42:34 localhost kernel: [   22.726743] [VIN_NODE]:[L239][C0]vin_node_video_set_attr done
Mar  5 18:42:34 localhost kernel: [   22.726747] [VPF ops]:[L689][vin2_cap][C0] vpf_video_set_init_attr: done
Mar  5 18:42:34 localhost kernel: [   22.726756] vin vcon2: vcon2 open 0: flow65535 ctx0 real
Mar  5 18:42:34 localhost kernel: [   22.726762] [L624][S65535][C0][ipi0]cim_subdev_init hw_id = 2
Mar  5 18:42:34 localhost kernel: [   22.726767] [CIM]:[L247][C0]cim_video_set_attr done ret val:0
Mar  5 18:42:34 localhost kernel: [   22.726772] vin vcon2: get attr valid bus7 rx2 done
Mar  5 18:42:34 localhost kernel: [   22.726785] [L423][C0] vin_node_set_attr ipi 0 done
Mar  5 18:42:34 localhost kernel: [   22.726796] [VIN_NODE]:[L239][C0]vin_node_video_set_attr done
Mar  5 18:42:34 localhost kernel: [   22.726800] [VIO node]:[L104][vin2] vio_group_task_start: sched_mode 1
Mar  5 18:42:34 localhost kernel: [   22.726804] [VPF ops]:[L689][vin2_src][C0] vpf_video_set_init_attr: done
Mar  5 18:42:34 localhost kernel: [   22.726809] [CIM]:[L247][C0]cim_video_set_attr done ret val:0
Mar  5 18:42:34 localhost kernel: [   22.726813] [L423][C0] vin_node_set_attr ipi 0 done
Mar  5 18:42:34 localhost kernel: [   22.726816] [VIN_NODE]:[L239][C0]vin_node_video_set_attr done
Mar  5 18:42:34 localhost kernel: [   22.726819] [VPF ops]:[L689][vin2_emb][C0] vpf_video_set_init_attr: done
Mar  5 18:42:34 localhost kernel: [   22.726825] [CIM]:[L247][C0]cim_video_set_attr done ret val:0
Mar  5 18:42:34 localhost kernel: [   22.726828] [L423][C0] vin_node_set_attr ipi 0 done
Mar  5 18:42:34 localhost kernel: [   22.726832] [VIN_NODE]:[L239][C0]vin_node_video_set_attr done
Mar  5 18:42:34 localhost kernel: [   22.726835] [VPF ops]:[L689][vin2_pdaf][C0] vpf_video_set_init_attr: done
Mar  5 18:42:34 localhost kernel: [   22.726855] [VPF ops]:[L1079][vin2_src][C0] vpf_video_get_struct_size: done
Mar  5 18:42:34 localhost kernel: [   22.726872] [L709][S65535] vin_node_set_ichn_attr begin format 43 width 1088 
Mar  5 18:42:34 localhost kernel: [   22.726879] [L527][S0][ipi0]cim_set_ichn_attr done
Mar  5 18:42:34 localhost kernel: [   22.726883] [CIM]:[L309][S0]cim_video_set_ichn_attr done ret val:0
Mar  5 18:42:34 localhost kernel: [   22.726887] [L724][S0]vin_node_set_ichn_attr done
Mar  5 18:42:34 localhost kernel: [   22.726891] [VIN_NODE]:[L427][C0]vin_node_video_set_ichn_attr done
Mar  5 18:42:34 localhost kernel: [   22.726896] [L1023][S0] vin_node_reqbufs done bit_map 0x1 planecount 1 
Mar  5 18:42:34 localhost kernel: [   22.726900] [VIN_NODE]:[L743][C0]vin_node_video_reqbufs done
Mar  5 18:42:34 localhost kernel: [   22.726912] [VPF ops]:[L1193][F0] vpf_fill_frame_info: L0 use width instead of wstride
Mar  5 18:42:34 localhost kernel: [   22.726917] [VPF ops]:[L1197][F0] vpf_fill_frame_info: L0 use height instead of vstride
Mar  5 18:42:34 localhost kernel: [   22.726921] [VPF ops]:[L1193][F1] vpf_fill_frame_info: L0 use width instead of wstride
Mar  5 18:42:34 localhost kernel: [   22.726925] [VPF ops]:[L1197][F1] vpf_fill_frame_info: L0 use height instead of vstride
Mar  5 18:42:34 localhost kernel: [   22.726929] [VPF ops]:[L1193][F2] vpf_fill_frame_info: L0 use width instead of wstride
Mar  5 18:42:34 localhost kernel: [   22.726932] [VPF ops]:[L1197][F2] vpf_fill_frame_info: L0 use height instead of vstride
Mar  5 18:42:34 localhost kernel: [   22.726936] [VPF ops]:[L1193][F3] vpf_fill_frame_info: L0 use width instead of wstride
Mar  5 18:42:34 localhost kernel: [   22.726940] [VPF ops]:[L1197][F3] vpf_fill_frame_info: L0 use height instead of vstride
Mar  5 18:42:34 localhost kernel: [   22.726944] [VPF ops]:[L1193][F4] vpf_fill_frame_info: L0 use width instead of wstride
Mar  5 18:42:34 localhost kernel: [   22.726947] [VPF ops]:[L1197][F4] vpf_fill_frame_info: L0 use height instead of vstride
Mar  5 18:42:34 localhost kernel: [   22.726951] [VPF ops]:[L1193][F5] vpf_fill_frame_info: L0 use width instead of wstride
Mar  5 18:42:34 localhost kernel: [   22.726954] [VPF ops]:[L1197][F5] vpf_fill_frame_info: L0 use height instead of vstride
Mar  5 18:42:34 localhost kernel: [   22.726958] [VPF ops]:[L1193][F6] vpf_fill_frame_info: L0 use width instead of wstride
Mar  5 18:42:34 localhost kernel: [   22.726962] [VPF ops]:[L1197][F6] vpf_fill_frame_info: L0 use height instead of vstride
Mar  5 18:42:34 localhost kernel: [   22.726965] [VPF ops]:[L1193][F7] vpf_fill_frame_info: L0 use width instead of wstride
Mar  5 18:42:34 localhost kernel: [   22.726969] [VPF ops]:[L1197][F7] vpf_fill_frame_info: L0 use height instead of vstride
Mar  5 18:42:34 localhost kernel: [   22.726973] [VPF ops]:[L1193][F8] vpf_fill_frame_info: L0 use width instead of wstride
