2023-11-21-20-57-29: COLD_BOOT 	misc-broken 	 	LNX6.1.83_PL5.1_V1.0.20_20250409-1341 	0000
2023-11-21-20-57-23: COLD_BOOT 	normal 	 	LNX6.1.83_PL5.1_V1.0.20_20250409-1341 	0001
2023-11-21-20-57-23: COLD_BOOT 	normal 	 	LNX6.1.83_PL5.1_V1.0.20_20250409-1341 	0002
2023-11-21-20-57-23: COLD_BOOT 	normal 	 	LNX6.1.83_PL5.1_V1.0.20_20250409-1341 	0003
2023-11-22-04-57-23: COLD_BOOT 	normal 	 	LNX6.1.83_PL5.1_V1.0.20_20250409-1341 	0004
2023-11-22-04-57-23: COLD_BOOT 	normal 	 	LNX6.1.83_PL5.1_V1.0.20_20250409-1341 	0005
2023-11-21-20-57-23: UBOOT_RESET 	misc-broken 	 	LNX6.1.83_PL5.2_V1.1.1_20251217-1721 	0006
2023-11-21-20-57-23: COLD_BOOT 	normal 	 	LNX6.1.83_PL5.2_V1.1.1_20251217-1721 	0007
2023-11-22-04-57-23: REBOOT_CMD 	normal 	 	LNX6.1.83_PL5.2_V1.1.1_20251217-1721 	0008
2023-11-22-04-57-23: COLD_BOOT 	normal 	 	LNX6.1.83_PL5.2_V1.1.1_20251217-1721 	0009
2023-11-22-04-57-23: REBOOT_CMD 	normal 	 	LNX6.1.83_PL5.2_V1.1.1_20251217-1721 	0010
2023-11-22-04-57-23: REBOOT_CMD 	normal 	 	LNX6.1.83_PL5.2_V1.1.1_20251217-1721 	0011
2023-11-22-04-57-23: REBOOT_CMD 	normal 	 	LNX6.1.83_PL5.2_V1.1.1_20251217-1721 	0012
2023-11-22-04-57-23: REBOOT_CMD 	normal 	 	LNX6.1.83_PL5.2_V1.1.1_20251217-1721 	0013
2023-11-22-04-57-23: REBOOT_CMD 	normal 	 	LNX6.1.83_PL5.2_V1.1.1_20251217-1721 	0014
2023-11-22-04-57-23: COLD_BOOT 	normal 	 	LNX6.1.83_PL5.2_V1.1.1_20251217-1721 	0015
2023-11-22-04-57-23: COLD_BOOT 	normal 	 	LNX6.1.83_PL5.2_V1.1.1_20251217-1721 	0016
2023-11-22-04-57-23: COLD_BOOT 	normal 	 	LNX6.1.83_PL5.2_V1.1.1_20251217-1721 	0017
2023-11-22-04-57-23: REBOOT_CMD 	normal 	 	LNX6.1.83_PL5.2_V1.1.1_20251217-1721 	0018
2023-11-22-04-57-23: REBOOT_CMD 	normal 	 	LNX6.1.83_PL5.2_V1.1.1_20251217-1721 	0019
2023-11-22-04-57-23: COLD_BOOT 	normal 	 	LNX6.1.83_PL5.2_V1.1.1_20251217-1721 	0020
2023-11-22-04-57-23: COLD_BOOT 	normal 	 	LNX6.1.83_PL5.2_V1.1.1_20251217-1721 	0021
2023-11-22-04-57-23: COLD_BOOT 	normal 	 	LNX6.1.83_PL5.2_V1.1.1_20251217-1721 	0022
2023-11-22-04-57-23: COLD_BOOT 	normal 	 	LNX6.1.83_PL5.2_V1.1.1_20251217-1721 	0023
2023-11-22-04-57-23: COLD_BOOT 	normal 	 	LNX6.1.83_PL5.2_V1.1.1_20251217-1721 	0024
2023-11-22-04-57-23: COLD_BOOT 	normal 	 	LNX6.1.83_PL5.2_V1.1.1_20251217-1721 	0025
2023-11-22-04-57-23: COLD_BOOT 	normal 	 	LNX6.1.83_PL5.2_V1.1.1_20251217-1721 	0026
2023-11-22-04-57-23: COLD_BOOT 	normal 	 	LNX6.1.83_PL5.2_V1.1.1_20251217-1721 	0027
2023-11-22-04-57-23: COLD_BOOT 	normal 	 	LNX6.1.83_PL5.2_V1.1.1_20251217-1721 	0028
2023-11-22-04-57-23: COLD_BOOT 	normal 	 	LNX6.1.83_PL5.2_V1.1.1_20251217-1721 	0029
2023-11-22-04-57-23: COLD_BOOT 	normal 	 	LNX6.1.83_PL5.2_V1.1.1_20251217-1721 	0030
2023-11-22-04-57-22: COLD_BOOT 	normal 	 	LNX6.1.83_PL5.2_V1.1.1_20251217-1721 	0031
2023-11-22-04-57-23: COLD_BOOT 	normal 	 	LNX6.1.83_PL5.2_V1.1.1_20251217-1721 	0032
2023-11-22-04-57-23: COLD_BOOT 	normal 	 	LNX6.1.83_PL5.2_V1.1.1_20251217-1721 	0033
2023-11-22-04-57-23: COLD_BOOT 	normal 	 	LNX6.1.83_PL5.2_V1.1.1_20251217-1721 	0034
2023-11-22-04-57-23: COLD_BOOT 	normal 	 	LNX6.1.83_PL5.2_V1.1.1_20251217-1721 	0035
2023-11-22-04-57-23: COLD_BOOT 	normal 	 	LNX6.1.83_PL5.2_V1.1.1_20251217-1721 	0036
2023-11-22-04-57-23: COLD_BOOT 	normal 	 	LNX6.1.83_PL5.2_V1.1.1_20251217-1721 	0037
2023-11-22-04-57-23: COLD_BOOT 	normal 	 	LNX6.1.83_PL5.2_V1.1.1_20251217-1721 	0038
2023-11-22-04-57-23: REBOOT_CMD 	normal 	 	LNX6.1.83_PL5.2_V1.1.1_20251217-1721 	0039
2023-11-22-04-57-23: REBOOT_CMD 	normal 	 	LNX6.1.83_PL5.2_V1.1.1_20251217-1721 	0040
2023-11-22-04-57-23: REBOOT_CMD 	normal 	 	LNX6.1.83_PL5.2_V1.1.1_20251217-1721 	0041
2023-11-22-04-57-23: REBOOT_CMD 	normal 	 	LNX6.1.83_PL5.2_V1.1.1_20251217-1721 	0042
2023-11-22-04-57-23: REBOOT_CMD 	normal 	 	LNX6.1.83_PL5.2_V1.1.1_20251217-1721 	0043
2023-11-22-04-57-23: REBOOT_CMD 	normal 	 	LNX6.1.83_PL5.2_V1.1.1_20251217-1721 	0044
2023-11-22-04-57-24: COLD_BOOT 	normal 	 	LNX6.1.83_PL5.2_V1.1.1_20251217-1721 	0045
2023-11-22-04-57-23: COLD_BOOT 	normal 	 	LNX6.1.83_PL5.2_V1.1.1_20251217-1721 	0046
2023-11-22-04-57-23: COLD_BOOT 	normal 	 	LNX6.1.83_PL5.2_V1.1.1_20251217-1721 	0047
2023-11-22-04-57-23: COLD_BOOT 	normal 	 	LNX6.1.83_PL5.2_V1.1.1_20251217-1721 	0048
2023-11-22-04-57-23: COLD_BOOT 	normal 	 	LNX6.1.83_PL5.2_V1.1.1_20251217-1721 	0049
2023-11-22-04-57-23: COLD_BOOT 	normal 	 	LNX6.1.83_PL5.2_V1.1.1_20251217-1721 	0050
2023-11-22-04-57-23: COLD_BOOT 	normal 	 	LNX6.1.83_PL5.2_V1.1.1_20251217-1721 	0051
2023-11-22-04-57-23: COLD_BOOT 	normal 	 	LNX6.1.83_PL5.2_V1.1.1_20251217-1721 	0052
2023-11-22-04-57-23: COLD_BOOT 	normal 	 	LNX6.1.83_PL5.2_V1.1.1_20251217-1721 	0053
2023-11-22-04-57-23: COLD_BOOT 	normal 	 	LNX6.1.83_PL5.2_V1.1.1_20251217-1721 	0054
2023-11-22-04-57-23: COLD_BOOT 	normal 	 	LNX6.1.83_PL5.2_V1.1.1_20251217-1721 	0055
2023-11-22-04-57-23: COLD_BOOT 	normal 	 	LNX6.1.83_PL5.2_V1.1.1_20251217-1721 	0056
2023-11-22-04-57-23: COLD_BOOT 	normal 	 	LNX6.1.83_PL5.2_V1.1.1_20251217-1721 	0057
2023-11-22-04-57-23: COLD_BOOT 	normal 	 	LNX6.1.83_PL5.2_V1.1.1_20251217-1721 	0058
2023-11-22-04-57-23: COLD_BOOT 	normal 	 	LNX6.1.83_PL5.2_V1.1.1_20251217-1721 	0059
2023-11-22-04-57-23: COLD_BOOT 	normal 	 	LNX6.1.83_PL5.2_V1.1.1_20251217-1721 	0060
2023-11-22-04-57-23: COLD_BOOT 	normal 	 	LNX6.1.83_PL5.2_V1.1.1_20251217-1721 	0061
2023-11-22-04-57-23: COLD_BOOT 	normal 	 	LNX6.1.83_PL5.2_V1.1.1_20251217-1721 	0062
2023-11-22-04-57-23: COLD_BOOT 	normal 	 	LNX6.1.83_PL5.2_V1.1.1_20251217-1721 	0063
2023-11-22-04-57-23: COLD_BOOT 	normal 	 	LNX6.1.83_PL5.2_V1.1.1_20251217-1721 	0064
2023-11-22-04-57-23: COLD_BOOT 	normal 	 	LNX6.1.83_PL5.2_V1.1.1_20251217-1721 	0065
2023-11-22-04-57-23: COLD_BOOT 	normal 	 	LNX6.1.83_PL5.2_V1.1.1_20251217-1721 	0066
2023-11-22-04-57-23: COLD_BOOT 	normal 	 	LNX6.1.83_PL5.2_V1.1.1_20251217-1721 	0067
2023-11-22-04-57-23: COLD_BOOT 	normal 	 	LNX6.1.83_PL5.2_V1.1.1_20251217-1721 	0068
2023-11-22-04-57-23: COLD_BOOT 	normal 	 	LNX6.1.83_PL5.2_V1.1.1_20251217-1721 	0069
2023-11-22-04-57-23: COLD_BOOT 	normal 	 	LNX6.1.83_PL5.2_V1.1.1_20251217-1721 	0070
2023-11-22-04-57-23: COLD_BOOT 	normal 	 	LNX6.1.83_PL5.2_V1.1.1_20251217-1721 	0071
2023-11-22-04-57-23: COLD_BOOT 	normal 	 	LNX6.1.83_PL5.2_V1.1.1_20251217-1721 	0072
2023-11-22-04-57-23: COLD_BOOT 	normal 	 	LNX6.1.83_PL5.2_V1.1.1_20251217-1721 	0073
2023-11-22-04-57-23: COLD_BOOT 	normal 	 	LNX6.1.83_PL5.2_V1.1.1_20251217-1721 	0074
2023-11-22-04-57-23: COLD_BOOT 	normal 	 	LNX6.1.83_PL5.2_V1.1.1_20251217-1721 	0075
2023-11-22-04-57-23: COLD_BOOT 	normal 	 	LNX6.1.83_PL5.2_V1.1.1_20251217-1721 	0076
2023-11-22-04-57-23: COLD_BOOT 	normal 	 	LNX6.1.83_PL5.2_V1.1.1_20251217-1721 	0077
2023-11-22-04-57-24: REBOOT_CMD 	normal 	 	LNX6.1.83_PL5.2_V1.1.1_20251217-1721 	0078
2023-11-22-04-57-23: REBOOT_CMD 	normal 	 	LNX6.1.83_PL5.2_V1.1.1_20251217-1721 	0079
2023-11-22-04-57-23: COLD_BOOT 	normal 	 	LNX6.1.83_PL5.2_V1.1.1_20251217-1721 	0080
2023-11-22-04-57-23: REBOOT_CMD 	normal 	 	LNX6.1.83_PL5.2_V1.1.1_20251217-1721 	0081
2023-11-22-04-57-23: REBOOT_CMD 	normal 	 	LNX6.1.83_PL5.2_V1.1.1_20251217-1721 	0082
2023-11-22-04-57-23: REBOOT_CMD 	normal 	 	LNX6.1.83_PL5.2_V1.1.1_20251217-1721 	0083
2023-11-22-04-57-23: REBOOT_CMD 	normal 	 	LNX6.1.83_PL5.2_V1.1.1_20251217-1721 	0084
2023-11-22-04-57-23: REBOOT_CMD 	normal 	 	LNX6.1.83_PL5.2_V1.1.1_20251217-1721 	0085
2023-11-22-04-57-23: REBOOT_CMD 	normal 	 	LNX6.1.83_PL5.2_V1.1.1_20251217-1721 	0086
2023-11-22-04-57-23: REBOOT_CMD 	normal 	 	LNX6.1.83_PL5.2_V1.1.1_20251217-1721 	0087
2023-11-22-04-57-23: REBOOT_CMD 	normal 	 	LNX6.1.83_PL5.2_V1.1.1_20251217-1721 	0088
2023-11-22-04-57-23: REBOOT_CMD 	normal 	 	LNX6.1.83_PL5.2_V1.1.1_20251217-1721 	0089
2023-11-22-04-57-23: COLD_BOOT 	normal 	 	LNX6.1.83_PL5.2_V1.1.1_20251217-1721 	0090
2023-11-22-04-57-23: REBOOT_CMD 	normal 	 	LNX6.1.83_PL5.2_V1.1.1_20251217-1721 	0091
