2023-11-21-20-57-29: COLD_BOOT 	misc-broken 	 	LNX6.1.83_PL5.1_V1.0.20_20250409-1341 	0000
2023-11-21-20-57-23: COLD_BOOT 	normal 	 	LNX6.1.83_PL5.1_V1.0.20_20250409-1341 	0001
2023-11-21-20-57-22: COLD_BOOT 	normal 	 	LNX6.1.83_PL5.1_V1.0.20_20250409-1341 	0002
2023-11-21-20-57-23: COLD_BOOT 	normal 	 	LNX6.1.83_PL5.1_V1.0.20_20250409-1341 	0003
2023-11-21-20-57-22: COLD_BOOT 	normal 	 	LNX6.1.83_PL5.1_V1.0.20_20250409-1341 	0004
2023-11-22-04-57-23: COLD_BOOT 	normal 	 	LNX6.1.83_PL5.1_V1.0.20_20250409-1341 	0005
2023-11-22-04-57-23: COLD_BOOT 	normal 	 	LNX6.1.83_PL5.1_V1.0.20_20250409-1341 	0006
2023-11-22-04-57-23: COLD_BOOT 	normal 	 	LNX6.1.83_PL5.1_V1.0.20_20250409-1341 	0007
2023-11-22-04-57-23: COLD_BOOT 	normal 	 	LNX6.1.83_PL5.1_V1.0.20_20250409-1341 	0008
2023-11-22-04-57-23: COLD_BOOT 	normal 	 	LNX6.1.83_PL5.1_V1.0.20_20250409-1341 	0009
2023-11-22-04-57-23: COLD_BOOT 	normal 	 	LNX6.1.83_PL5.1_V1.0.20_20250409-1341 	0010
2023-11-22-04-57-23: COLD_BOOT 	normal 	 	LNX6.1.83_PL5.1_V1.0.20_20250409-1341 	0011
2023-11-22-04-57-23: COLD_BOOT 	normal 	 	LNX6.1.83_PL5.1_V1.0.20_20250409-1341 	0012
2023-11-22-04-57-24: COLD_BOOT 	normal 	 	LNX6.1.83_PL5.1_V1.0.20_20250409-1341 	0013
2023-11-22-04-57-23: COLD_BOOT 	normal 	 	LNX6.1.83_PL5.1_V1.0.20_20250409-1341 	0014
2023-11-22-04-57-24: COLD_BOOT 	normal 	 	LNX6.1.83_PL5.1_V1.0.20_20250409-1341 	0015
2023-11-22-04-57-23: COLD_BOOT 	normal 	 	LNX6.1.83_PL5.1_V1.0.20_20250409-1341 	0016
2023-11-22-04-57-23: REBOOT_CMD 	normal 	 	LNX6.1.83_PL5.1_V1.0.20_20250409-1341 	0017
2023-11-22-04-57-23: COLD_BOOT 	normal 	 	LNX6.1.83_PL5.1_V1.0.20_20250409-1341 	0018
2023-11-22-04-57-23: COLD_BOOT 	normal 	 	LNX6.1.83_PL5.1_V1.0.20_20250409-1341 	0019
